"model","mediators","log_or_med","log_or_lo","log_or_hi","or_med","or_lo","or_hi","cri_clears_null"
"A: Total effect (correct DAG)","None",0.552646496331628,0.0620884227007397,1.04001460485011,1.73784614078161,1.0640564273115,2.82925833494373,TRUE
"B: + MDA","MDA",0.551594865654161,0.0688905701545866,1.04308162364982,1.73601952909603,1.07131896846454,2.83794904391763,TRUE
"C: + Activity","Activity",0.546688059701993,-0.235944701266506,1.34322430496525,1.72752208284673,0.789824349011386,3.8313771393166,FALSE
"D: + Duration","Duration",0.396068956638936,-0.11025987460109,0.905654345266787,1.48597178163817,0.895601361005348,2.47354994932733,FALSE
"E: + Activity + MDA","Activity + MDA",0.555093763482758,-0.234965849772543,1.34850716629248,1.74210432288502,0.790597848264074,3.85167133194005,FALSE
"F: + MDA + Duration","MDA + Duration",0.402893541235939,-0.10577201095182,0.916492535948232,1.49614760516011,0.899629730422725,2.50050456109472,FALSE
"G: + Activity + Duration","Activity + Duration",0.502062748361444,-0.288889006319535,1.31247162318468,1.65212567781021,0.749095345637995,3.71534530677761,FALSE
"H: + Activity + MDA + Duration","All mediators",0.515075417445352,-0.273562012846224,1.30228660750407,1.67376472809755,0.760665163881394,3.67769650882411,FALSE
