"model","or_med","or_lo","or_hi","log_or","log_lo","log_hi"
"Correct total effect (MDA excluded from adjustment set)",1.73784614078161,1.0640564273115,2.82925833494373,0.552646496331628,0.0620884227007397,1.04001460485011
"MDA included (sensitivity: potential confounder)",1.73979768074561,1.06739555409502,2.8467655457532,0.553768831032367,0.0652216197366685,1.04618345357123
